cohort	axis	weight_set	ramp_n	auc
GSE322563 HM450	v25_diff	shipped (0.95/0.75/0.45/0.15)	10	0.989856
GSE322563 HM450	v25_diff	shipped (0.95/0.75/0.45/0.15)	20	0.989856
GSE322563 HM450	v25_diff	shipped (0.95/0.75/0.45/0.15)	30	0.989856
GSE322563 HM450	v25_diff	shipped (0.95/0.75/0.45/0.15)	50	0.989856
GSE322563 HM450	v25_diff	shipped (0.95/0.75/0.45/0.15)	100	0.989856
GSE322563 HM450	v25_diff	aggressive (0.95/0.85/0.65/0.35)	10	0.990387
GSE322563 HM450	v25_diff	aggressive (0.95/0.85/0.65/0.35)	20	0.990387
GSE322563 HM450	v25_diff	aggressive (0.95/0.85/0.65/0.35)	30	0.990387
GSE322563 HM450	v25_diff	aggressive (0.95/0.85/0.65/0.35)	50	0.990387
GSE322563 HM450	v25_diff	aggressive (0.95/0.85/0.65/0.35)	100	0.990387
GSE322563 HM450	v25_diff	conservative (0.99/0.50/0.20/0.05)	10	0.989379
GSE322563 HM450	v25_diff	conservative (0.99/0.50/0.20/0.05)	20	0.989379
GSE322563 HM450	v25_diff	conservative (0.99/0.50/0.20/0.05)	30	0.989379
GSE322563 HM450	v25_diff	conservative (0.99/0.50/0.20/0.05)	50	0.989379
GSE322563 HM450	v25_diff	conservative (0.99/0.50/0.20/0.05)	100	0.989379
GSE322563 native v2	v25_diff	shipped (0.95/0.75/0.45/0.15)	10	0.986388
GSE322563 native v2	v25_diff	shipped (0.95/0.75/0.45/0.15)	20	0.986388
GSE322563 native v2	v25_diff	shipped (0.95/0.75/0.45/0.15)	30	0.986388
GSE322563 native v2	v25_diff	shipped (0.95/0.75/0.45/0.15)	50	0.986388
GSE322563 native v2	v25_diff	shipped (0.95/0.75/0.45/0.15)	100	0.986388
GSE322563 native v2	v25_diff	aggressive (0.95/0.85/0.65/0.35)	10	0.986919
GSE322563 native v2	v25_diff	aggressive (0.95/0.85/0.65/0.35)	20	0.986919
GSE322563 native v2	v25_diff	aggressive (0.95/0.85/0.65/0.35)	30	0.986919
GSE322563 native v2	v25_diff	aggressive (0.95/0.85/0.65/0.35)	50	0.986919
GSE322563 native v2	v25_diff	aggressive (0.95/0.85/0.65/0.35)	100	0.986919
GSE322563 native v2	v25_diff	conservative (0.99/0.50/0.20/0.05)	10	0.985910
GSE322563 native v2	v25_diff	conservative (0.99/0.50/0.20/0.05)	20	0.985910
GSE322563 native v2	v25_diff	conservative (0.99/0.50/0.20/0.05)	30	0.985910
GSE322563 native v2	v25_diff	conservative (0.99/0.50/0.20/0.05)	50	0.985910
GSE322563 native v2	v25_diff	conservative (0.99/0.50/0.20/0.05)	100	0.985910
GSE77348	v25_diff	shipped (0.95/0.75/0.45/0.15)	10	0.982483
GSE77348	v25_diff	shipped (0.95/0.75/0.45/0.15)	20	0.982483
GSE77348	v25_diff	shipped (0.95/0.75/0.45/0.15)	30	0.982483
GSE77348	v25_diff	shipped (0.95/0.75/0.45/0.15)	50	0.982483
GSE77348	v25_diff	shipped (0.95/0.75/0.45/0.15)	100	0.982483
GSE77348	v25_diff	aggressive (0.95/0.85/0.65/0.35)	10	0.983172
GSE77348	v25_diff	aggressive (0.95/0.85/0.65/0.35)	20	0.983172
GSE77348	v25_diff	aggressive (0.95/0.85/0.65/0.35)	30	0.983172
GSE77348	v25_diff	aggressive (0.95/0.85/0.65/0.35)	50	0.983172
GSE77348	v25_diff	aggressive (0.95/0.85/0.65/0.35)	100	0.983172
GSE77348	v25_diff	conservative (0.99/0.50/0.20/0.05)	10	0.981809
GSE77348	v25_diff	conservative (0.99/0.50/0.20/0.05)	20	0.981809
GSE77348	v25_diff	conservative (0.99/0.50/0.20/0.05)	30	0.981809
GSE77348	v25_diff	conservative (0.99/0.50/0.20/0.05)	50	0.981809
GSE77348	v25_diff	conservative (0.99/0.50/0.20/0.05)	100	0.981809
GSE69914 (tissue)	v25_diff	shipped (0.95/0.75/0.45/0.15)	10	0.772704
GSE69914 (tissue)	v25_diff	shipped (0.95/0.75/0.45/0.15)	20	0.772704
GSE69914 (tissue)	v25_diff	shipped (0.95/0.75/0.45/0.15)	30	0.772704
GSE69914 (tissue)	v25_diff	shipped (0.95/0.75/0.45/0.15)	50	0.772704
GSE69914 (tissue)	v25_diff	shipped (0.95/0.75/0.45/0.15)	100	0.772704
GSE69914 (tissue)	v25_diff	aggressive (0.95/0.85/0.65/0.35)	10	0.766842
GSE69914 (tissue)	v25_diff	aggressive (0.95/0.85/0.65/0.35)	20	0.766842
GSE69914 (tissue)	v25_diff	aggressive (0.95/0.85/0.65/0.35)	30	0.766842
GSE69914 (tissue)	v25_diff	aggressive (0.95/0.85/0.65/0.35)	50	0.766842
GSE69914 (tissue)	v25_diff	aggressive (0.95/0.85/0.65/0.35)	100	0.766842
GSE69914 (tissue)	v25_diff	conservative (0.99/0.50/0.20/0.05)	10	0.775973
GSE69914 (tissue)	v25_diff	conservative (0.99/0.50/0.20/0.05)	20	0.775973
GSE69914 (tissue)	v25_diff	conservative (0.99/0.50/0.20/0.05)	30	0.775973
GSE69914 (tissue)	v25_diff	conservative (0.99/0.50/0.20/0.05)	50	0.775973
GSE69914 (tissue)	v25_diff	conservative (0.99/0.50/0.20/0.05)	100	0.775973
GSE322563 HM450	v25_sigmoid	shipped (0.95/0.75/0.45/0.15)	10	0.989309
GSE322563 HM450	v25_sigmoid	shipped (0.95/0.75/0.45/0.15)	20	0.989309
GSE322563 HM450	v25_sigmoid	shipped (0.95/0.75/0.45/0.15)	30	0.989309
GSE322563 HM450	v25_sigmoid	shipped (0.95/0.75/0.45/0.15)	50	0.989309
GSE322563 HM450	v25_sigmoid	shipped (0.95/0.75/0.45/0.15)	100	0.989309
GSE322563 HM450	v25_sigmoid	aggressive (0.95/0.85/0.65/0.35)	10	0.990171
GSE322563 HM450	v25_sigmoid	aggressive (0.95/0.85/0.65/0.35)	20	0.990171
GSE322563 HM450	v25_sigmoid	aggressive (0.95/0.85/0.65/0.35)	30	0.990171
GSE322563 HM450	v25_sigmoid	aggressive (0.95/0.85/0.65/0.35)	50	0.990171
GSE322563 HM450	v25_sigmoid	aggressive (0.95/0.85/0.65/0.35)	100	0.990171
GSE322563 HM450	v25_sigmoid	conservative (0.99/0.50/0.20/0.05)	10	0.987578
GSE322563 HM450	v25_sigmoid	conservative (0.99/0.50/0.20/0.05)	20	0.987578
GSE322563 HM450	v25_sigmoid	conservative (0.99/0.50/0.20/0.05)	30	0.987578
GSE322563 HM450	v25_sigmoid	conservative (0.99/0.50/0.20/0.05)	50	0.987578
GSE322563 HM450	v25_sigmoid	conservative (0.99/0.50/0.20/0.05)	100	0.987578
GSE322563 native v2	v25_sigmoid	shipped (0.95/0.75/0.45/0.15)	10	0.985749
GSE322563 native v2	v25_sigmoid	shipped (0.95/0.75/0.45/0.15)	20	0.985749
GSE322563 native v2	v25_sigmoid	shipped (0.95/0.75/0.45/0.15)	30	0.985749
GSE322563 native v2	v25_sigmoid	shipped (0.95/0.75/0.45/0.15)	50	0.985749
GSE322563 native v2	v25_sigmoid	shipped (0.95/0.75/0.45/0.15)	100	0.985749
GSE322563 native v2	v25_sigmoid	aggressive (0.95/0.85/0.65/0.35)	10	0.986590
GSE322563 native v2	v25_sigmoid	aggressive (0.95/0.85/0.65/0.35)	20	0.986590
GSE322563 native v2	v25_sigmoid	aggressive (0.95/0.85/0.65/0.35)	30	0.986590
GSE322563 native v2	v25_sigmoid	aggressive (0.95/0.85/0.65/0.35)	50	0.986590
GSE322563 native v2	v25_sigmoid	aggressive (0.95/0.85/0.65/0.35)	100	0.986590
GSE322563 native v2	v25_sigmoid	conservative (0.99/0.50/0.20/0.05)	10	0.984209
GSE322563 native v2	v25_sigmoid	conservative (0.99/0.50/0.20/0.05)	20	0.984209
GSE322563 native v2	v25_sigmoid	conservative (0.99/0.50/0.20/0.05)	30	0.984209
GSE322563 native v2	v25_sigmoid	conservative (0.99/0.50/0.20/0.05)	50	0.984209
GSE322563 native v2	v25_sigmoid	conservative (0.99/0.50/0.20/0.05)	100	0.984209
GSE77348	v25_sigmoid	shipped (0.95/0.75/0.45/0.15)	10	0.981647
GSE77348	v25_sigmoid	shipped (0.95/0.75/0.45/0.15)	20	0.981647
GSE77348	v25_sigmoid	shipped (0.95/0.75/0.45/0.15)	30	0.981647
GSE77348	v25_sigmoid	shipped (0.95/0.75/0.45/0.15)	50	0.981647
GSE77348	v25_sigmoid	shipped (0.95/0.75/0.45/0.15)	100	0.981647
GSE77348	v25_sigmoid	aggressive (0.95/0.85/0.65/0.35)	10	0.982887
GSE77348	v25_sigmoid	aggressive (0.95/0.85/0.65/0.35)	20	0.982887
GSE77348	v25_sigmoid	aggressive (0.95/0.85/0.65/0.35)	30	0.982887
GSE77348	v25_sigmoid	aggressive (0.95/0.85/0.65/0.35)	50	0.982887
GSE77348	v25_sigmoid	aggressive (0.95/0.85/0.65/0.35)	100	0.982887
GSE77348	v25_sigmoid	conservative (0.99/0.50/0.20/0.05)	10	0.978247
GSE77348	v25_sigmoid	conservative (0.99/0.50/0.20/0.05)	20	0.978247
GSE77348	v25_sigmoid	conservative (0.99/0.50/0.20/0.05)	30	0.978247
GSE77348	v25_sigmoid	conservative (0.99/0.50/0.20/0.05)	50	0.978247
GSE77348	v25_sigmoid	conservative (0.99/0.50/0.20/0.05)	100	0.978247
GSE69914 (tissue)	v25_sigmoid	shipped (0.95/0.75/0.45/0.15)	10	0.864203
GSE69914 (tissue)	v25_sigmoid	shipped (0.95/0.75/0.45/0.15)	20	0.864203
GSE69914 (tissue)	v25_sigmoid	shipped (0.95/0.75/0.45/0.15)	30	0.864203
GSE69914 (tissue)	v25_sigmoid	shipped (0.95/0.75/0.45/0.15)	50	0.864203
GSE69914 (tissue)	v25_sigmoid	shipped (0.95/0.75/0.45/0.15)	100	0.864203
GSE69914 (tissue)	v25_sigmoid	aggressive (0.95/0.85/0.65/0.35)	10	0.828474
GSE69914 (tissue)	v25_sigmoid	aggressive (0.95/0.85/0.65/0.35)	20	0.828474
GSE69914 (tissue)	v25_sigmoid	aggressive (0.95/0.85/0.65/0.35)	30	0.828474
GSE69914 (tissue)	v25_sigmoid	aggressive (0.95/0.85/0.65/0.35)	50	0.828474
GSE69914 (tissue)	v25_sigmoid	aggressive (0.95/0.85/0.65/0.35)	100	0.828474
GSE69914 (tissue)	v25_sigmoid	conservative (0.99/0.50/0.20/0.05)	10	0.865451
GSE69914 (tissue)	v25_sigmoid	conservative (0.99/0.50/0.20/0.05)	20	0.865451
GSE69914 (tissue)	v25_sigmoid	conservative (0.99/0.50/0.20/0.05)	30	0.865451
GSE69914 (tissue)	v25_sigmoid	conservative (0.99/0.50/0.20/0.05)	50	0.865451
GSE69914 (tissue)	v25_sigmoid	conservative (0.99/0.50/0.20/0.05)	100	0.865451
